date,channelGrouping,users,newUsers,percentNewSessions,sessions,bounces,bounceRate,sessionDuration,avgSessionDuration,pageviews,pageviewsPerSession
20180204,Direct,316826,148437,40.27529059,368556,115494,31.33689317,4.89E+07,132.54551,2395881,6.500724449
20180204,Organic Search,49893,20279,32.82241357,61784,14077,22.78421598,1.03E+07,166.4985757,398567,6.450974362
20180204,Referral,313422,119593,31.52576776,379350,111790,29.46882826,5.86E+07,154.3471596,2609274,6.878275998
20180204,Social,76013,22289,26.08395455,85451,19909,23.29873261,1.10E+07,129.3095575,458968,5.371124972
20180205,(Other),11,0,0,12,3,25,1899,158.25,81,6.75
20180205,Direct,388142,209444,48.69952613,430074,129798,30.18038756,5.33E+07,123.9682031,2513536,5.844426773
20180205,Organic Search,60841,28655,39.44253269,72650,15899,21.88437715,1.19E+07,163.613682,448631,6.17523744
20180205,Paid Search,3,0,0,3,1,33.33333333,226,75.33333333,7,2.333333333
20180205,Referral,347750,158819,38.77218209,409621,109697,26.78012114,6.00E+07,146.5017223,2625478,6.409529785
20180205,Social,53802,15270,25.64576265,59542,12052,20.2411743,8229157,138.2076014,327165,5.494692822
20180206,(Other),11,1,7.692307692,13,2,15.38461538,3271,251.6153846,208,16
20180206,Direct,261235,118166,39.86021299,296451,88725,29.92906079,3.99E+07,134.6835565,1973796,6.658085147
20180206,Organic Search,55255,25783,38.61580398,66768,14389,21.55074287,1.15E+07,172.9054337,447635,6.704334412
20180206,Paid Search,4,0,0,4,2,50,102,25.5,6,1.5
20180206,Referral,240177,84156,28.15570685,298895,77694,25.99374362,5.01E+07,167.741983,2284434,7.642931464
20180206,Social,55215,13189,20.87494658,63181,11181,17.69677593,9535723,150.9270667,400089,6.332425888
20180207,(Other),5,0,0,5,2,40,623,124.6,55,11
20180207,Direct,163139,77836,44.00696549,176872,53948,30.50115338,2.37E+07,134.0419569,1194885,6.755648152
20180207,Organic Search,71188,42917,53.61609095,80045,15524,19.39409082,1.37E+07,171.4970329,555616,6.941295521
20180207,Paid Search,1,0,0,1,0,0,7,7,2,2
20180207,Referral,140403,50257,31.27068867,160716,44233,27.52246198,2.57E+07,159.7727731,1198697,7.458479554
20180207,Social,83095,23368,24.39350286,95796,15591,16.27520982,1.57E+07,163.8484801,665326,6.945237797
20180208,Direct,61422,33909,49.66968902,68269,21386,31.32607772,8942583,130.990391,426797,6.251695499
20180208,Organic Search,55808,36300,59.34475543,61168,12671,20.71507978,9963586,162.8888635,405356,6.626929113
20180208,Referral,30853,10837,29.05517722,37298,11551,30.96948898,6376649,170.9649043,290682,7.793500992
20180208,Social,91620,28072,26.55441517,105715,18255,17.26812657,1.69E+07,159.9988365,689994,6.526926169
20180209,(Other),6,0,0,8,0,0,2959,369.875,66,8.25
20180209,Direct,132922,47754,31.9232569,149590,36740,24.56046527,2.34E+07,156.4157029,1153372,7.710221271
20180209,Organic Search,58103,32409,48.18107485,67265,14042,20.87564112,1.14E+07,170.0404222,466570,6.936296737
20180209,Paid Search,1,0,0,1,0,0,341,341,2,2
20180209,Referral,127646,32391,21.285642,152173,33639,22.10576121,2.86E+07,187.6811129,1344306,8.834063862
20180209,Social,45798,12337,24.37901393,50605,8490,16.77699832,7529976,148.7990515,307281,6.072147021
20180210,(Other),8,2,16.66666667,12,3,25,1686,140.5,43,3.583333333
20180210,Direct,169306,65474,34.41688832,190238,49931,26.24659637,2.95E+07,154.9416363,1293435,6.799035944
